"incentive_id","title","company_id","company_name","score","rank"
"20","Eficiência Energética em Infraestruturas Públicas – Administração Pública Local ","46141","SUSTAINABLE EQUATION, LDA","0.5323740597144337",5
"21","Infraestruturas e Equipamentos Sociais (IT)","222395","CENTRO SOCIAL PAROQUIAL DE S.TIAGO DE URRA","0.4548533992425622",1
"21","Infraestruturas e Equipamentos Sociais (IT)","3590","CENTRO SOCIAL PAROQUIAL DO AMIAL","0.45355270143401727",2
"21","Infraestruturas e Equipamentos Sociais (IT)","115504","CENTRO SOCIAL PAROQUIAL DE SANTO ALEIXO DE VILA VERDE","0.45299939811229706",3
"21","Infraestruturas e Equipamentos Sociais (IT)","92376","CENTRO SOCIAL PAROQUIAL DE ABRUNHOSA-A-VELHA","0.4498200148451328",4
"21","Infraestruturas e Equipamentos Sociais (IT)","245498","CASA DO POVO DE VILARANDELO","0.4494667947292328",5
"22","Documentos, livros, papeis, contratos, operações, atos e produtos previstos na tabela geral respeitantes a entidades licenciadas nas Zonas Francas da Madeira e da ilha de Santa Maria e às empresas concessionárias","233877","S.D.M. - SOCIEDADE DE DESENVOLVIMENTO DA MADEIRA, S.A. (ZONA FRANCA DA MADEIRA)","0.4638536274433136",1
"22","Documentos, livros, papeis, contratos, operações, atos e produtos previstos na tabela geral respeitantes a entidades licenciadas nas Zonas Francas da Madeira e da ilha de Santa Maria e às empresas concessionárias","27847","MADEIRA MANAGEMENT CIA, LDA (ZONA FRANCA DA MADEIRA)","0.45905588811302933",2
"22","Documentos, livros, papeis, contratos, operações, atos e produtos previstos na tabela geral respeitantes a entidades licenciadas nas Zonas Francas da Madeira e da ilha de Santa Maria e às empresas concessionárias","236339","EUROPEAN MAR II, LDA & COMANDITA (ZONA FRANCA DA MADEIRA)","0.45472352206707",3
"22","Documentos, livros, papeis, contratos, operações, atos e produtos previstos na tabela geral respeitantes a entidades licenciadas nas Zonas Francas da Madeira e da ilha de Santa Maria e às empresas concessionárias","8768","MADEIRA CORPORATE SERVICES II, UNIPESSOAL, LDA (ZONA FRANCA DA MADEIRA)","0.45153146982192993",4
"22","Documentos, livros, papeis, contratos, operações, atos e produtos previstos na tabela geral respeitantes a entidades licenciadas nas Zonas Francas da Madeira e da ilha de Santa Maria e às empresas concessionárias","46550","BOATRUST MANAGEMENT, LDA (ZONA FRANCA DA MADEIRA)","0.44097869449980964",5
"23","Ampliação de infraestruturas aeroportuárias na Região Autónoma dos Açores - 1º Aviso","230004","ASCENDI GRANDE PORTO - AUTO ESTRADAS DO GRANDE PORTO, S.A.","0.446022695777098",1
"23","Ampliação de infraestruturas aeroportuárias na Região Autónoma dos Açores - 1º Aviso","224767","SATA - GESTÃO DE AERÓDROMOS, S.A.","0.44284898042678833",2
"23","Ampliação de infraestruturas aeroportuárias na Região Autónoma dos Açores - 1º Aviso","2977","CRESAÇOR - COOPERATIVA REGIONAL DE ECONOMIA SOLIDÁRIA, C.R.L.","0.43374314203940434",3
"23","Ampliação de infraestruturas aeroportuárias na Região Autónoma dos Açores - 1º Aviso","228326","ASCENDI NORTE - AUTO-ESTRADAS DO NORTE, S.A.","0.4276577979326248",4
"23","Ampliação de infraestruturas aeroportuárias na Região Autónoma dos Açores - 1º Aviso","227853","PORTUSCALE - CONSTRUTORAS DAS AUTO ESTRADAS DO GRANDE PORTO, A.C.E.","0.4271418495689727",5
"24","Execução da EDL do GAL ADELIAÇOR MAR - Qualificação dos jovens utilizadores do mar","46130","ALVORADA COMUM, UNIPESSOAL, LDA","0.5571250428035889",1
"24","Execução da EDL do GAL ADELIAÇOR MAR - Qualificação dos jovens utilizadores do mar","3649","EDUPLUS - EUROPEAN CENTRE FOR EDUCATION AND SKILLS DEVELOPMENT, LDA","0.544945980307221",2
"24","Execução da EDL do GAL ADELIAÇOR MAR - Qualificação dos jovens utilizadores do mar","31040","CENTRO SOCIAL E CULTURAL DE VILA PRAIA DE ÂNCORA","0.544908908602861",3
"24","Execução da EDL do GAL ADELIAÇOR MAR - Qualificação dos jovens utilizadores do mar","74032","TREINO DE MAR, LDA","0.5412396142625586",4
"24","Execução da EDL do GAL ADELIAÇOR MAR - Qualificação dos jovens utilizadores do mar","155810","DOCA ATLÂNTICO, LDA","0.5384214170826334",5
"25","Execução da EDL do GAL ADELIAÇOR MAR - Proteção da biodiversidade marinha e Proteção do ordenamento do espaço marítimo e reforço da resiliência costeira","216453","FUNDAÇÃO GALP","0.45351221464756364",1
